etudiant_id,age,genre,niveau_etudes,nb_connexions_semaine,temps_etude_hebdo,exercices_completes_pct,videos_vues_pct,participation_forums,nb_devoirs_rendus,revenu_famille,score_motivation,nombre_absences,acces_internet,note_mi_parcours,note_finale,reussite
1,23,M,L3,9.7,9.2,65.0,73.5,3,8,Élevé,5.2,3,Stable,10.17,9.03,0
2,17,M,M2,8.3,12.2,59.4,81.0,1,8,Bas,7.8,2,Instable,12.08,3.71,0
3,25,F,L2,9.0,10.7,83.6,60.9,10,8,Moyen,8.2,1,Stable,10.88,6.62,0
4,26,M,L3,10.3,8.1,33.2,75.8,5,9,Moyen,6.5,5,Stable,5.5,0.0,0
5,17,M,L2,5.6,10.6,26.2,91.7,6,9,Élevé,5.0,1,Stable,8.16,10.42,1
6,17,F,M1,10.6,13.0,68.8,44.4,6,9,Moyen,7.0,1,Stable,14.4,17.85,1
7,22,F,L2,3.9,8.2,76.2,53.5,9,9,Moyen,6.1,4,Limité,10.94,7.45,0
8,20,F,L3,9.0,8.0,44.7,44.4,5,5,Moyen,6.1,2,Stable,7.5,3.0,0
9,21,M,L2,8.5,5.2,86.7,79.3,4,8,Moyen,5.6,5,Instable,7.34,7.55,0
10,17,F,L2,6.2,14.0,96.7,79.8,5,8,Moyen,8.2,2,Stable,16.59,13.18,1
11,26,F,L3,7.9,14.7,79.6,30.0,4,9,Moyen,6.9,4,Stable,12.5,13.66,1
12,25,M,L2,6.1,13.2,39.3,70.9,9,7,Moyen,8.4,3,Stable,8.43,9.31,0
13,22,F,M1,4.8,16.8,78.7,48.8,4,5,Bas,8.9,1,Stable,12.34,12.9,1
14,27,M,L2,6.9,12.4,76.1,77.5,3,6,Bas,7.3,1,Stable,10.85,13.06,1
15,24,M,L3,4.7,14.0,95.7,40.4,6,7,Moyen,5.6,2,Stable,13.37,13.56,1
16,17,F,L2,9.0,13.5,73.3,61.0,5,6,Bas,8.4,4,Limité,12.47,13.93,1
17,23,M,L2,4.5,11.5,85.5,85.7,1,8,Moyen,7.3,1,Stable,11.63,7.14,0
18,17,M,L2,10.1,9.3,81.5,74.0,5,6,Bas,10.0,2,Limité,12.75,15.79,1
19,26,F,L1,4.5,23.1,96.4,54.3,5,6,Moyen,7.1,2,Stable,17.84,20.0,1
20,21,F,L1,6.3,9.7,56.5,32.5,3,10,Moyen,7.8,2,Stable,13.73,13.87,1
21,21,F,L3,6.1,8.7,83.4,60.2,9,8,Moyen,7.0,1,Stable,9.71,12.17,1
22,18,F,L3,12.0,14.2,92.8,70.5,7,8,Moyen,6.3,2,Stable,14.97,15.11,1
23,28,F,L3,9.0,13.3,70.8,99.7,4,9,Bas,6.0,2,Stable,12.88,16.54,1
24,21,M,L1,7.4,5.0,76.4,87.0,8,6,Bas,7.0,2,Stable,8.72,7.69,0
25,19,M,L2,9.5,17.6,88.7,62.3,6,10,Moyen,7.4,5,Stable,15.39,10.96,1
26,20,M,L1,1.7,11.5,71.8,88.9,9,7,Élevé,8.6,2,Instable,13.48,16.83,1
27,24,M,L3,7.9,6.4,62.2,69.3,3,4,Moyen,7.1,10,Stable,8.57,0.0,0
28,23,F,M1,14.0,17.9,76.4,75.1,4,8,Moyen,5.7,2,Limité,16.72,18.46,1
29,24,M,L1,8.4,15.1,80.0,94.2,5,8,Moyen,5.9,3,Stable,10.56,9.29,0
30,24,M,L3,8.2,5.7,60.1,42.2,3,7,Moyen,4.1,1,Stable,7.8,3.51,0
31,32,M,L1,9.6,20.9,63.3,59.0,6,6,Moyen,9.5,2,Stable,17.24,19.69,1
32,19,M,L1,10.7,15.3,87.1,72.4,7,9,Moyen,5.5,3,Stable,15.79,12.78,1
33,19,F,L1,2.0,11.9,90.0,83.3,3,8,Bas,8.2,3,Limité,14.55,16.61,1
34,17,M,L1,3.0,20.0,84.7,71.6,6,7,Bas,7.0,1,Instable,18.18,20.0,1
35,25,M,L3,8.6,12.8,51.3,85.2,3,5,Moyen,7.0,6,Stable,7.51,2.74,0
36,27,M,M1,5.9,11.9,90.8,90.4,3,8,Moyen,6.3,0,Stable,15.25,20.0,1
37,21,M,L1,11.9,8.7,77.7,92.0,4,8,Moyen,5.1,3,Instable,12.92,12.09,1
38,17,F,L2,7.1,14.9,84.2,75.3,6,4,Moyen,4.8,2,Stable,13.14,15.09,1
39,17,M,L3,2.2,14.4,63.0,71.4,2,9,Bas,9.6,4,Stable,16.38,20.0,1
40,25,M,M2,4.2,12.1,84.7,89.1,2,9,Moyen,6.7,2,Stable,13.68,19.43,1
41,25,M,L3,1.0,8.1,69.3,71.5,9,7,Bas,8.5,1,Stable,7.79,10.19,1
42,24,F,L1,7.3,12.6,66.2,73.7,2,10,Élevé,9.0,2,Stable,12.88,12.47,1
43,18,F,L3,7.4,11.7,34.0,72.5,3,9,Bas,5.8,3,Stable,7.87,0.38,0
44,23,F,L2,6.7,5.3,67.1,81.9,9,7,Moyen,7.3,6,Limité,10.8,8.07,0
45,22,F,M2,11.2,4.6,83.1,63.4,10,7,Moyen,6.6,4,Stable,11.14,12.97,1
46,23,F,L2,11.6,14.8,86.2,83.7,6,8,Bas,4.4,2,Limité,13.32,14.77,1
47,26,M,L3,7.5,0.0,54.8,66.6,7,8,Bas,6.2,2,Instable,8.96,0.0,0
48,23,M,L1,1.6,13.0,81.1,63.2,5,7,Bas,7.6,3,Stable,14.76,17.63,1
49,25,F,L2,9.9,9.6,78.2,44.6,10,7,Moyen,5.6,3,Stable,10.48,12.54,1
50,22,M,M1,9.7,18.5,69.5,86.5,6,6,Moyen,5.9,2,Stable,14.1,13.47,1
51,23,F,L3,8.9,9.5,80.4,58.2,5,6,Moyen,6.2,2,Instable,12.85,15.66,1
52,25,M,L2,10.9,15.3,64.2,65.6,3,7,Bas,10.0,6,Stable,12.04,14.07,1
53,17,F,M1,4.5,10.0,95.0,31.2,7,6,Moyen,3.2,4,Limité,12.32,6.39,0
54,20,F,M1,14.0,12.6,69.1,73.0,8,6,Bas,7.4,4,Stable,12.13,16.32,1
55,19,M,L2,5.1,15.7,79.1,54.6,3,9,Élevé,6.0,1,Instable,12.67,8.39,0
56,18,F,L2,10.2,9.7,83.4,75.4,2,5,Moyen,5.3,2,Stable,8.95,7.84,0
57,20,F,L2,2.9,17.0,84.2,55.4,13,6,Élevé,6.0,7,Stable,14.59,11.56,1
58,29,F,L3,5.2,7.0,34.8,67.8,2,8,Élevé,7.7,2,Instable,4.72,0.0,0
59,17,M,L2,12.5,13.5,91.6,29.7,3,10,Moyen,7.8,3,Instable,12.89,14.65,1
60,26,M,L1,7.2,16.6,71.9,84.6,4,7,Moyen,6.8,2,Stable,11.28,17.4,1
61,17,F,M1,10.5,15.3,40.5,56.2,4,8,Moyen,8.5,5,Stable,8.22,12.31,1
62,20,M,M1,8.7,21.6,80.4,46.5,4,7,Élevé,8.8,4,Stable,16.91,20.0,1
63,22,M,M1,7.7,8.2,89.4,99.0,2,8,Moyen,8.0,1,Instable,12.34,6.27,0
64,24,F,M2,12.1,5.1,67.7,64.0,2,9,Moyen,5.5,0,Stable,9.36,3.14,0
65,25,F,L3,7.3,7.0,73.6,59.2,5,8,Élevé,7.4,6,Stable,8.2,6.1,0
66,25,M,L3,2.7,15.3,75.9,34.0,3,6,Élevé,7.4,2,Instable,12.88,12.73,1
67,20,M,L3,5.6,14.5,32.8,77.8,7,10,Élevé,5.0,1,Stable,10.61,7.93,0
68,19,M,L2,9.7,12.5,56.8,80.3,4,7,Bas,3.7,1,Stable,11.06,17.54,1
69,26,M,L2,9.2,6.4,68.0,70.7,3,8,Bas,2.9,3,Instable,10.75,7.74,0
70,21,F,L1,3.3,15.8,54.2,89.2,1,8,Moyen,6.6,6,Instable,13.07,13.16,1
71,17,M,L3,5.8,5.9,95.4,69.9,5,7,Moyen,7.0,1,Instable,11.87,15.37,1
